Navn;Stasjon;Tid(norsk normaltid);Nedbør (døgn)
Ålesund Iv;SN60945;13.08.2023;0,3
Ålesund Iv;SN60945;14.08.2023;2,1
Ålesund Iv;SN60945;15.08.2023;2,6
Ålesund Iv;SN60945;16.08.2023;0,3
Ålesund Iv;SN60945;17.08.2023;0
Ålesund Iv;SN60945;18.08.2023;0
Ålesund Iv;SN60945;19.08.2023;0
Ålesund Iv;SN60945;20.08.2023;4
Ålesund Iv;SN60945;21.08.2023;0
Ålesund Iv;SN60945;22.08.2023;3,9
Ålesund Iv;SN60945;23.08.2023;9,7
Ålesund Iv;SN60945;24.08.2023;11
Ålesund Iv;SN60945;25.08.2023;0
Ålesund Iv;SN60945;26.08.2023;0,1
Ålesund Iv;SN60945;27.08.2023;0,8
Ålesund Iv;SN60945;28.08.2023;11,9
Ålesund Iv;SN60945;29.08.2023;0,9
Ålesund Iv;SN60945;30.08.2023;0
Ålesund Iv;SN60945;31.08.2023;0
Ålesund Iv;SN60945;01.09.2023;0
Ålesund Iv;SN60945;02.09.2023;0,3
Ålesund Iv;SN60945;03.09.2023;4,7
Ålesund Iv;SN60945;04.09.2023;12,6
Ålesund Iv;SN60945;05.09.2023;53,6
Ålesund Iv;SN60945;06.09.2023;0,2
Ålesund Iv;SN60945;07.09.2023;0
Ålesund Iv;SN60945;08.09.2023;0,6
Ålesund Iv;SN60945;09.09.2023;0
Ålesund Iv;SN60945;10.09.2023;9,1
Ålesund Iv;SN60945;11.09.2023;3,6
Ålesund Iv;SN60945;12.09.2023;8,3
Ålesund Iv;SN60945;13.09.2023;10,5
Ålesund Iv;SN60945;14.09.2023;1,2
Ålesund Iv;SN60945;15.09.2023;4,5
Ålesund Iv;SN60945;16.09.2023;11,7
Ålesund Iv;SN60945;17.09.2023;9,5
Ålesund Iv;SN60945;18.09.2023;0
Ålesund Iv;SN60945;19.09.2023;0
Ålesund Iv;SN60945;20.09.2023;0,4
Ålesund Iv;SN60945;21.09.2023;26,8
Ålesund Iv;SN60945;22.09.2023;7
Ålesund Iv;SN60945;23.09.2023;0
Ålesund Iv;SN60945;24.09.2023;11
Ålesund Iv;SN60945;25.09.2023;1,5
Ålesund Iv;SN60945;26.09.2023;6,9
Ålesund Iv;SN60945;27.09.2023;3,6
Ålesund Iv;SN60945;28.09.2023;8,5
Ålesund Iv;SN60945;29.09.2023;1,8
Ålesund Iv;SN60945;30.09.2023;12,6
Ålesund Iv;SN60945;01.10.2023;7,3
Ålesund Iv;SN60945;02.10.2023;2,4
Ålesund Iv;SN60945;03.10.2023;18,6
Ålesund Iv;SN60945;04.10.2023;14,6
Ålesund Iv;SN60945;05.10.2023;12,6
Ålesund Iv;SN60945;06.10.2023;2
Ålesund Iv;SN60945;07.10.2023;16,3
Ålesund Iv;SN60945;08.10.2023;7,3
Ålesund Iv;SN60945;09.10.2023;5
Ålesund Iv;SN60945;10.10.2023;0,4
Ålesund Iv;SN60945;11.10.2023;21,6
Ålesund Iv;SN60945;12.10.2023;27,7
Ålesund Iv;SN60945;13.10.2023;4,2
Ålesund Iv;SN60945;14.10.2023;4,2
Ålesund Iv;SN60945;15.10.2023;17,4
Ålesund Iv;SN60945;16.10.2023;12,8
Ålesund Iv;SN60945;17.10.2023;43,1
Ålesund Iv;SN60945;18.10.2023;5,3
Ålesund Iv;SN60945;19.10.2023;0
Ålesund Iv;SN60945;20.10.2023;0
Ålesund Iv;SN60945;21.10.2023;0
Ålesund Iv;SN60945;22.10.2023;0
Ålesund Iv;SN60945;23.10.2023;0
Ålesund Iv;SN60945;24.10.2023;1
Ålesund Iv;SN60945;25.10.2023;0
Ålesund Iv;SN60945;26.10.2023;0
Ålesund Iv;SN60945;27.10.2023;0
Ålesund Iv;SN60945;28.10.2023;0
Ålesund Iv;SN60945;29.10.2023;0
Ålesund Iv;SN60945;30.10.2023;0
Ålesund Iv;SN60945;31.10.2023;0
Ålesund Iv;SN60945;01.11.2023;0
Ålesund Iv;SN60945;02.11.2023;0
Ålesund Iv;SN60945;03.11.2023;0
Ålesund Iv;SN60945;04.11.2023;0
Ålesund Iv;SN60945;05.11.2023;0
Ålesund Iv;SN60945;06.11.2023;0
Ålesund Iv;SN60945;07.11.2023;0,4
Ålesund Iv;SN60945;08.11.2023;0,6
Ålesund Iv;SN60945;09.11.2023;0
Ålesund Iv;SN60945;10.11.2023;0
Ålesund Iv;SN60945;11.11.2023;0
Ålesund Iv;SN60945;12.11.2023;0
Ålesund Iv;SN60945;13.11.2023;0
Ålesund Iv;SN60945;14.11.2023;0
Ålesund Iv;SN60945;15.11.2023;0
Ålesund Iv;SN60945;16.11.2023;0
Ålesund Iv;SN60945;17.11.2023;0
Ålesund Iv;SN60945;18.11.2023;0
Ålesund Iv;SN60945;19.11.2023;0
Ålesund Iv;SN60945;20.11.2023;0
Ålesund Iv;SN60945;21.11.2023;0
Ålesund Iv;SN60945;22.11.2023;5
Ålesund Iv;SN60945;23.11.2023;32,2
Ålesund Iv;SN60945;24.11.2023;10,1
Ålesund Iv;SN60945;25.11.2023;8,8
Ålesund Iv;SN60945;26.11.2023;12
Ålesund Iv;SN60945;27.11.2023;0,1
Ålesund Iv;SN60945;28.11.2023;0
Ålesund Iv;SN60945;29.11.2023;0
Ålesund Iv;SN60945;30.11.2023;0
Ålesund Iv;SN60945;01.12.2023;0
Ålesund Iv;SN60945;02.12.2023;3
Ålesund Iv;SN60945;03.12.2023;0
Ålesund Iv;SN60945;04.12.2023;0
Ålesund Iv;SN60945;05.12.2023;0
Ålesund Iv;SN60945;06.12.2023;0
Ålesund Iv;SN60945;07.12.2023;0
Ålesund Iv;SN60945;08.12.2023;0
Ålesund Iv;SN60945;09.12.2023;0
Ålesund Iv;SN60945;10.12.2023;0
Ålesund Iv;SN60945;11.12.2023;0,3
Ålesund Iv;SN60945;12.12.2023;0
Ålesund Iv;SN60945;13.12.2023;0
Ålesund Iv;SN60945;14.12.2023;0
Ålesund Iv;SN60945;15.12.2023;1,5
Ålesund Iv;SN60945;16.12.2023;13,9
Ålesund Iv;SN60945;17.12.2023;35,8
Ålesund Iv;SN60945;18.12.2023;29,6
Ålesund Iv;SN60945;19.12.2023;8,6
Ålesund Iv;SN60945;20.12.2023;0,7
Ålesund Iv;SN60945;21.12.2023;4,3
Ålesund Iv;SN60945;22.12.2023;29,4
Ålesund Iv;SN60945;23.12.2023;0,7
Ålesund Iv;SN60945;24.12.2023;8,3
Ålesund Iv;SN60945;25.12.2023;7
Ålesund Iv;SN60945;26.12.2023;9,9
Ålesund Iv;SN60945;27.12.2023;5,4
Ålesund Iv;SN60945;28.12.2023;0,1
Ålesund Iv;SN60945;29.12.2023;1,8
Ålesund Iv;SN60945;30.12.2023;0,2
Ålesund Iv;SN60945;31.12.2023;0,5
